"Kod","Miejscowość","Dzielnica","Ulica","Numery","Gmina","Powiat","Województwo"
"90-203","Łódź","Śródmieście","Pomorska","31-47(n)","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"93-005","Łódź","Górna","Czerwona","","Łódź","Łódź","łódzkie"
"93-360","Łódź","Górna","Kozielska","","Łódź","Łódź","łódzkie"
"94-266","Łódź","Polesie","Hejnałowa","","Łódź","Łódź","łódzkie"
"92-402","Łódź","Widzew","Blocha Jana Gottlieba","","Łódź","Łódź","łódzkie"
"92-235","Łódź","Widzew","Józefa","17-30","Łódź","Łódź","łódzkie"
"91-504","Łódź","Bałuty","Gajowa","","Łódź","Łódź","łódzkie"
"91-223","Łódź","Bałuty","Śniadeckiego Jędrzeja","","Łódź","Łódź","łódzkie"
"93-380","Łódź","Górna","Ofiarna","","Łódź","Łódź","łódzkie"
"93-571","Łódź","Polesie","Sowia","","Łódź","Łódź","łódzkie"
"94-126","Łódź","Polesie","Żużlowa","","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"90-204","Łódź","Śródmieście","Pomorska","49-59(n)","Łódź","Łódź","łódzkie"
"93-480","Łódź","Górna","Człuchowska","","Łódź","Łódź","łódzkie"
"93-258","Łódź","Górna","Koźmiana Kajetana","","Łódź","Łódź","łódzkie"
"94-049","Łódź","Polesie","Hippiczna","","Łódź","Łódź","łódzkie"
"92-321","Łódź","Widzew","Bobrowa","","Łódź","Łódź","łódzkie"
"92-232","Łódź","Widzew","Józefa","31-DK","Łódź","Łódź","łódzkie"
"91-349","Łódź","Bałuty","Gdyńska","3-16a, 38","Łódź","Łódź","łódzkie"
"91-493","Łódź","Bałuty","Światowida","","Łódź","Łódź","łódzkie"
"93-432","Łódź","Górna","Okrężna","","Łódź","Łódź","łódzkie"
"91-074","Łódź","Polesie","Srebrzyńska","1-23(n), 2-14(p)","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"90-539","Łódź","Polesie","Żwirki Franciszka (Kapitana Pilota Franciszka Żwirki)","17-DK(n), 36-DK(p)","Łódź","Łódź","łódzkie"
"91-409","Łódź","Śródmieście","Pomorska","66-92(p)","Łódź","Łódź","łódzkie"
"93-648","Łódź","Górna","Czołowa","","Łódź","Łódź","łódzkie"
"93-515","Łódź","Górna","Krakusa","","Łódź","Łódź","łódzkie"
"94-107","Łódź","Polesie","Hufcowa","","Łódź","Łódź","łódzkie"
"92-340","Łódź","Widzew","Bodo Eugeniusza","","Łódź","Łódź","łódzkie"
"92-720","Łódź","Widzew","Jugosłowiańska","","Łódź","Łódź","łódzkie"
"91-167","Łódź","Bałuty","Geodezyjna","","Łódź","Łódź","łódzkie"
"91-512","Łódź","Bałuty","Świetlików","","Łódź","Łódź","łódzkie"
"93-451","Łódź","Górna","Oksywie","","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"94-209","Łódź","Polesie","Srebrzyńska","28, 73-89(n)","Łódź","Łódź","łódzkie"
"90-355","Łódź","Śródmieście","Abramowskiego Edwarda","","Łódź","Łódź","łódzkie"
"90-224","Łódź","Śródmieście","Pomorska","67-89(n)","Łódź","Łódź","łódzkie"
"93-359","Łódź","Górna","Czynna","","Łódź","Łódź","łódzkie"
"93-015","Łódź","Górna","Krasickiego Janka","","Łódź","Łódź","łódzkie"
"94-252","Łódź","Polesie","Inowrocławska","70-DK(p)","Łódź","Łódź","łódzkie"
"92-416","Łódź","Widzew","Bolesława Krzywoustego","","Łódź","Łódź","łódzkie"
"92-008","Łódź","Widzew","Juhasowa","","Łódź","Łódź","łódzkie"
"91-457","Łódź","Bałuty","Gęsia","","Łódź","Łódź","łódzkie"
"91-605","Łódź","Bałuty","Taczanowskiego Edmunda","","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"93-411","Łódź","Górna","Opiekuńcza","","Łódź","Łódź","łódzkie"
"94-203","Łódź","Polesie","Srebrzyńska","38-42(p), 91-111(n)","Łódź","Łódź","łódzkie"
"90-238","Łódź","Śródmieście","Banacha Stefana","11-DK(n), 20-DK(p)","Łódź","Łódź","łódzkie"
"91-402","Łódź","Śródmieście","Pomorska","94-112(p)","Łódź","Łódź","łódzkie"
"93-633","Łódź","Górna","Czyżewskiego 'Juliana' Ludwika (Generała Ludwika Czyżewskiego 'Juliana')","","Łódź","Łódź","łódzkie"
"93-515","Łódź","Górna","Krośnieńska","","Łódź","Łódź","łódzkie"
"94-316","Łódź","Polesie","Jagodnica","","Łódź","Łódź","łódzkie"
"92-635","Łódź","Widzew","Bolesławów","","Łódź","Łódź","łódzkie"
"92-436","Łódź","Widzew","Juranda ze Spychowa","","Łódź","Łódź","łódzkie"
"91-849","Łódź","Bałuty","Gibalskiego Edwarda","","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"91-506","Łódź","Bałuty","Tajnego Nauczania","","Łódź","Łódź","łódzkie"
"93-356","Łódź","Górna","Opoczyńska","","Łódź","Łódź","łódzkie"
"91-087","Łódź","Polesie","Srebrzyńska","53-69(n)","Łódź","Łódź","łódzkie"
"90-303","Łódź","Śródmieście","Brzeźna","","Łódź","Łódź","łódzkie"
"91-425","Łódź","Śródmieście","Północna","32-DK(p), 35-DK(n)","Łódź","Łódź","łódzkie"
"93-348","Łódź","Górna","Daleka","","Łódź","Łódź","łódzkie"
"93-185","Łódź","Górna","Krucza","","Łódź","Łódź","łódzkie"
"93-570","Łódź","Polesie","Jana Pawła II Al.","","Łódź","Łódź","łódzkie"
"92-738","Łódź","Widzew","Bratkowa","","Łódź","Łódź","łódzkie"
"92-408","Łódź","Widzew","Kaczmarka Romana","","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"91-232","Łódź","Bałuty","Glebowa","","Łódź","Łódź","łódzkie"
"91-363","Łódź","Bałuty","Tarninowa","","Łódź","Łódź","łódzkie"
"93-238","Łódź","Górna","Oppmana Artura","","Łódź","Łódź","łódzkie"
"90-513","Łódź","Polesie","Struga Andrzeja","26","Łódź","Łódź","łódzkie"
"90-249","Łódź","Śródmieście","Dąbrowskiego Henryka Pl. (Generała Henryka Dąbrowskiego)","","Łódź","Łódź","łódzkie"
"90-404","Łódź","Śródmieście","Próchnika Adama","2-16(p)","Łódź","Łódź","łódzkie"
"93-137","Łódź","Górna","Dąbrowskiego Jarosława (Generała Jarosława Dąbrowskiego)","10-34(p)","Łódź","Łódź","łódzkie"
"93-138","Łódź","Górna","Krzywa","","Łódź","Łódź","łódzkie"
"94-204","Łódź","Polesie","Jarzynowa","","Łódź","Łódź","łódzkie"
"91-604","Łódź","Widzew","Brylantowa","","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"92-116","Łódź","Widzew","Kalatówki","","Łódź","Łódź","łódzkie"
"91-336","Łódź","Bałuty","Gliniana","","Łódź","Łódź","łódzkie"
"91-495","Łódź","Bałuty","Tatarakowa","","Łódź","Łódź","łódzkie"
"93-505","Łódź","Górna","Ordona Juliusza","","Łódź","Łódź","łódzkie"
"90-501","Łódź","Polesie","Struga Andrzeja","30-44(p)","Łódź","Łódź","łódzkie"
"90-019","Łódź","Śródmieście","Dowborczyków","","Łódź","Łódź","łódzkie"
"90-452","Łódź","Śródmieście","Radwańska","1-19(n)","Łódź","Łódź","łódzkie"
"93-173","Łódź","Górna","Dąbrowskiego Jarosława (Generała Jarosława Dąbrowskiego)","1-11(n), 2-8(p)","Łódź","Łódź","łódzkie"
"93-402","Łódź","Górna","Krzywoń Anieli","","Łódź","Łódź","łódzkie"
"94-118","Łódź","Polesie","Jasia i Małgosi","","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"93-219","Łódź","Widzew","Brzechwy Jana","","Łódź","Łódź","łódzkie"
"92-781","Łódź","Widzew","Kasprowicza Jana","","Łódź","Łódź","łódzkie"
"91-474","Łódź","Bałuty","Głogowa","1-13","Łódź","Łódź","łódzkie"
"91-728","Łódź","Bałuty","Telefoniczna","1-23(n), 2-28(p)","Łódź","Łódź","łódzkie"
"93-233","Łódź","Górna","Ordonówny Hanki","","Łódź","Łódź","łódzkie"
"90-640","Łódź","Polesie","Struga Andrzeja","45-55(n)","Łódź","Łódź","łódzkie"
"90-508","Łódź","Śródmieście","Gdańska","106-114(p)","Łódź","Łódź","łódzkie"
"90-207","Łódź","Śródmieście","Rewolucji 1905 R.","16-32(p)","Łódź","Łódź","łódzkie"
"93-277","Łódź","Górna","Dąbrowskiego Jarosława (Generała Jarosława Dąbrowskiego)","36-46a(p)","Łódź","Łódź","łódzkie"
"93-450","Łódź","Górna","Ksawerowska","","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"94-202","Łódź","Polesie","Jęczmienna","","Łódź","Łódź","łódzkie"
"92-703","Łódź","Widzew","Brzezińska","133-243(n), 156-282(p)","Łódź","Łódź","łódzkie"
"92-414","Łódź","Widzew","Kazimierza Odnowiciela","","Łódź","Łódź","łódzkie"
"91-479","Łódź","Bałuty","Głogowa","14-DK","Łódź","Łódź","łódzkie"
"91-164","Łódź","Bałuty","Telewizyjna","","Łódź","Łódź","łódzkie"
"93-468","Łódź","Górna","Ostowa","","Łódź","Łódź","łódzkie"
"90-567","Łódź","Polesie","Struga Andrzeja","46-64(p)","Łódź","Łódź","łódzkie"
"90-261","Łódź","Śródmieście","Jaracza Stefana","11-31(n)","Łódź","Łódź","łódzkie"
"90-214","Łódź","Śródmieście","Rewolucji 1905 R.","33-43(n)","Łódź","Łódź","łódzkie"
"93-208","Łódź","Górna","Dąbrowskiego Jarosława (Generała Jarosława Dąbrowskiego)","50-64(p), 113","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"93-331","Łódź","Górna","Kurczaki","38-DK(p), 41-DK(n)","Łódź","Łódź","łódzkie"
"94-313","Łódź","Polesie","""Juszczakiewicza Kornika Stanisława (Pułkownika Stanisława Juszczakiewicza """"Kornika"""")""","","Łódź","Łódź","łódzkie"
"92-103","Łódź","Widzew","Brzezińska","1-41(n), 2-48(p)","Łódź","Łódź","łódzkie"
"90-353","Łódź","Widzew","Kilińskiego Jana","177","Łódź","Łódź","łódzkie"
"91-734","Łódź","Bałuty","Głowackiego Wojciecha","","Łódź","Łódź","łódzkie"
"91-502","Łódź","Bałuty","Tęczowa","","Łódź","Łódź","łódzkie"
"93-490","Łódź","Górna","Pabianicka","119/131-177(n)","Łódź","Łódź","łódzkie"
"90-648","Łódź","Polesie","Struga Andrzeja","57-65(n)","Łódź","Łódź","łódzkie"
"90-262","Łódź","Śródmieście","Jaracza Stefana","12-34(p)","Łódź","Łódź","łódzkie"
"90-213","Łódź","Śródmieście","Rewolucji 1905 R.","34-52(p)","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"93-271","Łódź","Górna","Dąbrowskiego Jarosława (Generała Jarosława Dąbrowskiego)","59-89(n)","Łódź","Łódź","łódzkie"
"93-485","Łódź","Górna","Kutnowska","","Łódź","Łódź","łódzkie"
"94-324","Łódź","Polesie","Kadetów","","Łódź","Łódź","łódzkie"
"92-772","Łódź","Widzew","Kokosowa","","Łódź","Łódź","łódzkie"
"91-046","Łódź","Bałuty","Gnieźnieńska","1-7(n), 2-DK(p)","Łódź","Łódź","łódzkie"
"91-182","Łódź","Bałuty","Toeplitza Jerzego","","Łódź","Łódź","łódzkie"
"93-036","Łódź","Górna","Pabianicka","1-21(n), 4-24(p)","Łódź","Łódź","łódzkie"
"90-557","Łódź","Polesie","Struga Andrzeja","66-DK(p)","Łódź","Łódź","łódzkie"
"90-259","Łódź","Śródmieście","Jaracza Stefana","33-35(n)","Łódź","Łódź","łódzkie"
"90-221","Łódź","Śródmieście","Rewolucji 1905 R.","61-71(n)","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"93-202","Łódź","Górna","Dąbrowskiego Jarosława (Generała Jarosława Dąbrowskiego)","91-111(n)","Łódź","Łódź","łódzkie"
"93-459","Łódź","Górna","Kuźnicka","","Łódź","Łódź","łódzkie"
"90-560","Łódź","Polesie","Karolewska","1-41(n)","Łódź","Łódź","łódzkie"
"90-032","Łódź","Widzew","Kopcińskiego Stefana (Doktora Stefana Kopcińskiego)","51-71(n), 52-54(p)","Łódź","Łódź","łódzkie"
"91-463","Łódź","Bałuty","Goplańska","","Łódź","Łódź","łódzkie"
"91-450","Łódź","Bałuty","Tokarska","","Łódź","Łódź","łódzkie"
"93-402","Łódź","Górna","Pabianicka","184-222(p)","Łódź","Łódź","łódzkie"
"94-014","Łódź","Polesie","Sympatyczna","","Łódź","Łódź","łódzkie"
"90-249","Łódź","Śródmieście","Jaracza Stefana","45-49(n), 50-60(p)","Łódź","Łódź","łódzkie"
"90-226","Łódź","Śródmieście","Rewolucji 1905 R.","73-DK(n), 88-DK(p)","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"93-473","Łódź","Górna","Deltowa","","Łódź","Łódź","łódzkie"
"93-443","Łódź","Górna","Laskowa","","Łódź","Łódź","łódzkie"
"90-561","Łódź","Polesie","Karolewska","2-44(p)","Łódź","Łódź","łódzkie"
"90-033","Łódź","Widzew","Kopcińskiego Stefana (Doktora Stefana Kopcińskiego)","72-DK","Łódź","Łódź","łódzkie"
"91-030","Łódź","Bałuty","Gorzowska","","Łódź","Łódź","łódzkie"
"91-842","Łódź","Bałuty","Tokarzewskiego Michała (Generała Michała Tokarzewskiego)","1-21, 22-DK(p), 25a-51(n)","Łódź","Łódź","łódzkie"
"93-029","Łódź","Górna","Pabianicka","2","Łódź","Łódź","łódzkie"
"94-233","Łódź","Polesie","Szańcowa","","Łódź","Łódź","łódzkie"
"90-251","Łódź","Śródmieście","Jaracza Stefana","51-69(n), 62-76(p)","Łódź","Łódź","łódzkie"
"91-404","Łódź","Śródmieście","Rodzeństwa Fibaków","","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"93-404","Łódź","Górna","Demokratyczna","1-11(n), 4-12(p)","Łódź","Łódź","łódzkie"
"93-479","Łódź","Górna","Lazurowa","","Łódź","Łódź","łódzkie"
"94-023","Łódź","Polesie","Karolewska","46-DK(p), 53-DK(n)","Łódź","Łódź","łódzkie"
"92-111","Łódź","Widzew","Krasińskiego Zygmunta","","Łódź","Łódź","łódzkie"
"91-520","Łódź","Bałuty","Gotycka","","Łódź","Łódź","łódzkie"
"91-812","Łódź","Bałuty","Tokarzewskiego Michała (Generała Michała Tokarzewskiego)","53-DK(n)","Łódź","Łódź","łódzkie"
"93-454","Łódź","Górna","Pabianicka","257-277(n)","Łódź","Łódź","łódzkie"
"94-402","Łódź","Polesie","Szarych Szeregów","","Łódź","Łódź","łódzkie"
"90-243","Łódź","Śródmieście","Jaracza Stefana","71-75(n), 78-86(p)","Łódź","Łódź","łódzkie"
"90-436","Łódź","Śródmieście","Rynkowskiej Anny Al.","","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"93-467","Łódź","Górna","Denna","69-DK","Łódź","Łódź","łódzkie"
"93-173","Łódź","Górna","Lecznicza","","Łódź","Łódź","łódzkie"
"91-078","Łódź","Polesie","Kasprzaka Marcina","1-7(n), 10-64a","Łódź","Łódź","łódzkie"
"92-220","Łódź","Widzew","Kresowa","","Łódź","Łódź","łódzkie"
"91-502","Łódź","Bałuty","Góralska","","Łódź","Łódź","łódzkie"
"91-218","Łódź","Bałuty","Traktorowa","192-202(p)","Łódź","Łódź","łódzkie"
"93-530","Łódź","Górna","Paderewskiego Ignacego","1-19(n)","Łódź","Łódź","łódzkie"
"94-414","Łódź","Polesie","Szczecińska","1-11(n)","Łódź","Łódź","łódzkie"
"90-244","Łódź","Śródmieście","Jaracza Stefana","77-97(n), 88-110(p)","Łódź","Łódź","łódzkie"
"90-007","Łódź","Śródmieście","Schillera Leona Al.","","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"93-267","Łódź","Górna","Deotymy","1-7(n)","Łódź","Łódź","łódzkie"
"93-166","Łódź","Górna","Lelewela Joachima","","Łódź","Łódź","łódzkie"
"91-083","Łódź","Polesie","Kasprzaka Marcina","2-8(p), 9","Łódź","Łódź","łódzkie"
"92-006","Łódź","Widzew","Krokiew","","Łódź","Łódź","łódzkie"
"91-705","Łódź","Bałuty","Górnicza","41-47(n)","Łódź","Łódź","łódzkie"
"91-117","Łódź","Bałuty","Traktorowa","33-57(n)","Łódź","Łódź","łódzkie"
"93-025","Łódź","Górna","Paderewskiego Ignacego","24-DK(p), 53-DK(n)","Łódź","Łódź","łódzkie"
"94-225","Łódź","Polesie","Szeregowa","","Łódź","Łódź","łódzkie"
"90-231","Łódź","Śródmieście","Jaracza Stefana","99-DK(n), 112-DK(p)","Łódź","Łódź","łódzkie"
"90-363","Łódź","Śródmieście","Sienkiewicza Henryka","108-DK(p), 159-DK(n)","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"93-446","Łódź","Górna","Długa","","Łódź","Łódź","łódzkie"
"93-143","Łódź","Górna","Lenartowicza Teofila Aleksandra","","Łódź","Łódź","łódzkie"
"94-260","Łódź","Polesie","Kawaleryjska","","Łódź","Łódź","łódzkie"
"90-345","Łódź","Widzew","Księży Młyn","","Łódź","Łódź","łódzkie"
"91-140","Łódź","Bałuty","Grabieniec","13-15(n)","Łódź","Łódź","łódzkie"
"91-148","Łódź","Bałuty","Traktorowa","92-96(p)","Łódź","Łódź","łódzkie"
"93-411","Łódź","Górna","Panoramiczna","","Łódź","Łódź","łódzkie"
"94-290","Łódź","Polesie","Szlachetna","","Łódź","Łódź","łódzkie"
"90-229","Łódź","Śródmieście","Kamińskiego Aleksandra (Harcmistrza Aleksandra Kamińskiego)","10-24(p), 13-25(n)","Łódź","Łódź","łódzkie"
"90-009","Łódź","Śródmieście","Sienkiewicza Henryka","38-50(p), 43-67(n)","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"93-429","Łódź","Górna","Dodatnia","","Łódź","Łódź","łódzkie"
"93-486","Łódź","Górna","Leszczowa","","Łódź","Łódź","łódzkie"
"94-330","Łódź","Polesie","Kirasjerów","","Łódź","Łódź","łódzkie"
"92-616","Łódź","Widzew","Kupały","","Łódź","Łódź","łódzkie"
"91-054","Łódź","Bałuty","Graficzna","","Łódź","Łódź","łódzkie"
"91-504","Łódź","Bałuty","Kogucia","13-DK","Łódź","Łódź","łódzkie"
"91-364","Łódź","Bałuty","Trawiasta","","Łódź","Łódź","łódzkie"
"93-427","Łódź","Górna","Pańska","","Łódź","Łódź","łódzkie"
"94-278","Łódź","Polesie","Szwadronowa","","Łódź","Łódź","łódzkie"
"91-427","Łódź","Śródmieście","Kamińskiego Aleksandra (Harcmistrza Aleksandra Kamińskiego)","1-11(n), 2-8(p)","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"90-057","Łódź","Śródmieście","Sienkiewicza Henryka","69-95(n)","Łódź","Łódź","łódzkie"
"93-442","Łódź","Górna","Dolina Szwajcarska","","Łódź","Łódź","łódzkie"
"93-347","Łódź","Górna","Leszczyńskiej Stanisławy","","Łódź","Łódź","łódzkie"
"94-131","Łódź","Polesie","Kolarska","1-191(n), 2-DK(p)","Łódź","Łódź","łódzkie"
"92-017","Łódź","Widzew","Lawinowa","1-21(n), 2-8(p)","Łódź","Łódź","łódzkie"
"91-335","Łódź","Bałuty","Grunwaldzka","1-29(n), 4-30(p)","Łódź","Łódź","łódzkie"
"91-810","Łódź","Bałuty","Kolektywna","","Łódź","Łódź","łódzkie"
"91-474","Łódź","Bałuty","Trenknera Henryka (Doktora Henryka Trenknera)","1-36","Łódź","Łódź","łódzkie"
"93-624","Łódź","Górna","Paprociowa","","Łódź","Łódź","łódzkie"
"94-268","Łódź","Polesie","Szwoleżerów","","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"90-220","Łódź","Śródmieście","Kamińskiego Aleksandra (Harcmistrza Aleksandra Kamińskiego)","26-34(p)","Łódź","Łódź","łódzkie"
"90-357","Łódź","Śródmieście","Sienkiewicza Henryka","88-106(p)","Łódź","Łódź","łódzkie"
"93-460","Łódź","Górna","Dorszowa","","Łódź","Łódź","łódzkie"
"93-441","Łódź","Górna","Letniskowa","","Łódź","Łódź","łódzkie"
"94-233","Łódź","Polesie","Komandosów","","Łódź","Łódź","łódzkie"
"92-229","Łódź","Widzew","Lawinowa","23-35(n)","Łódź","Łódź","łódzkie"
"91-337","Łódź","Bałuty","Grunwaldzka","32-48(p), 33-81(n)","Łódź","Łódź","łódzkie"
"91-046","Łódź","Bałuty","Kołodziejska","","Łódź","Łódź","łódzkie"
"91-475","Łódź","Bałuty","Trenknera Henryka (Doktora Henryka Trenknera)","37-DK","Łódź","Łódź","łódzkie"
"93-360","Łódź","Górna","Paradna","61-DK(n), 70-DK(p)","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"94-301","Łódź","Polesie","Tarnowska","","Łódź","Łódź","łódzkie"
"90-219","Łódź","Śródmieście","Kamińskiego Aleksandra (Harcmistrza Aleksandra Kamińskiego)","27-DK(n)","Łódź","Łódź","łódzkie"
"90-127","Łódź","Śródmieście","Składowa","","Łódź","Łódź","łódzkie"
"93-231","Łódź","Górna","Dostawcza","","Łódź","Łódź","łódzkie"
"93-480","Łódź","Górna","Libijska","","Łódź","Łódź","łódzkie"
"94-311","Łódź","Polesie","Konstantynowska","46-DK(p), 73-DK(n)","Łódź","Łódź","łódzkie"
"92-227","Łódź","Widzew","Lewarowa","","Łódź","Łódź","łódzkie"
"91-230","Łódź","Bałuty","Hektarowa","","Łódź","Łódź","łódzkie"
"91-310","Łódź","Bałuty","Kominiarska","","Łódź","Łódź","łódzkie"
"91-356","Łódź","Bałuty","Truskawkowa","","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"93-434","Łódź","Górna","Pasjansowa","","Łódź","Łódź","łódzkie"
"94-218","Łódź","Polesie","Tobruk","11-DK(n)","Łódź","Łódź","łódzkie"
"90-316","Łódź","Śródmieście","Kilińskiego Jana","134-142(p)","Łódź","Łódź","łódzkie"
"90-458","Łódź","Śródmieście","Skorupki Ignacego (Księdza Harcmistrza Ignacego Skorupki)","1-13(n), 2-4(p)","Łódź","Łódź","łódzkie"
"93-491","Łódź","Górna","Dubois Stanisława","2-21","Łódź","Łódź","łódzkie"
"93-232","Łódź","Górna","Lodowa","80-DK(p), 85-107(n)","Łódź","Łódź","łódzkie"
"90-545","Łódź","Polesie","Kopernika Mikołaja","25-27(n), 28-34(p)","Łódź","Łódź","łódzkie"
"92-015","Łódź","Widzew","Limbowa","","Łódź","Łódź","łódzkie"
"91-366","Łódź","Bałuty","Helenówek","","Łódź","Łódź","łódzkie"
"91-806","Łódź","Bałuty","Komunardów","","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"91-615","Łódź","Bałuty","Turystyczna","","Łódź","Łódź","łódzkie"
"93-452","Łódź","Górna","Patriotyczna","","Łódź","Łódź","łódzkie"
"94-265","Łódź","Polesie","Ułańska","","Łódź","Łódź","łódzkie"
"90-322","Łódź","Śródmieście","Kilińskiego Jana","144-168(p)","Łódź","Łódź","łódzkie"
"91-423","Łódź","Śródmieście","Solna","","Łódź","Łódź","łódzkie"
"93-465","Łódź","Górna","Dubois Stanisława","76-108(p), 79-115(n)","Łódź","Łódź","łódzkie"
"93-021","Łódź","Górna","Lokatorska","1-DK(n)","Łódź","Łódź","łódzkie"
"94-120","Łódź","Polesie","Korsarska","","Łódź","Łódź","łódzkie"
"92-006","Łódź","Widzew","Listopadowa","54-DK(p)","Łódź","Łódź","łódzkie"
"91-498","Łódź","Bałuty","Helińskiego Franciszka","","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"91-230","Łódź","Bałuty","Konopna","","Łódź","Łódź","łódzkie"
"91-016","Łódź","Bałuty","Tybury Stanisława","6-DK(p), 11-DK(n)","Łódź","Łódź","łódzkie"
"93-402","Łódź","Górna","Pawła","","Łódź","Łódź","łódzkie"
"94-020","Łódź","Polesie","Unii Lubelskiej Al.","2","Łódź","Łódź","łódzkie"
"90-353","Łódź","Śródmieście","Kilińskiego Jana","165-169(n)","Łódź","Łódź","łódzkie"
"91-425","Łódź","Śródmieście","Sterlinga Seweryna (Doktora Seweryna Sterlinga)","1-9","Łódź","Łódź","łódzkie"
"93-430","Łódź","Górna","Duetowa","","Łódź","Łódź","łódzkie"
"93-024","Łódź","Górna","Lokatorska","2-12(p)","Łódź","Łódź","łódzkie"
"94-012","Łódź","Polesie","Kozietulskiego Jana (Pułkownika Jana Kozietulskiego)","","Łódź","Łódź","łódzkie"
"92-214","Łódź","Widzew","Ludwika","","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"91-324","Łódź","Bałuty","Hipoteczna","21-DK","Łódź","Łódź","łódzkie"
"91-859","Łódź","Bałuty","Konwaliowa","","Łódź","Łódź","łódzkie"
"91-223","Łódź","Bałuty","Tytoniowa","","Łódź","Łódź","łódzkie"
"93-562","Łódź","Górna","Piasta","","Łódź","Łódź","łódzkie"
"94-208","Łódź","Polesie","Unii Lubelskiej Al.","4-DK(p), 15","Łódź","Łódź","łódzkie"
"90-253","Łódź","Śródmieście","Kilińskiego Jana","24-38(p)","Łódź","Łódź","łódzkie"
"90-426","Łódź","Śródmieście","Struga Andrzeja","2-10(p)","Łódź","Łódź","łódzkie"
"93-451","Łódź","Górna","Działowa","","Łódź","Łódź","łódzkie"
"93-467","Łódź","Górna","Lotnicza","","Łódź","Łódź","łódzkie"
"94-030","Łódź","Polesie","Krzemieniecka","2","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"92-418","Łódź","Widzew","Łokietkówny Elżbiety","","Łódź","Łódź","łódzkie"
"91-335","Łódź","Bałuty","Hipoteczna","3-15(n), 4-18(p)","Łódź","Łódź","łódzkie"
"91-202","Łódź","Bałuty","Koprowa","","Łódź","Łódź","łódzkie"
"91-603","Łódź","Bałuty","Uranowa","","Łódź","Łódź","łódzkie"
"93-558","Łódź","Górna","Piękna","","Łódź","Łódź","łódzkie"
"94-291","Łódź","Polesie","Waleczna","","Łódź","Łódź","łódzkie"
"90-208","Łódź","Śródmieście","Kilińskiego Jana","27-31(n)","Łódź","Łódź","łódzkie"
"91-402","Łódź","Śródmieście","Strykowska","1-5(n)","Łódź","Łódź","łódzkie"
"93-419","Łódź","Górna","Dzwonowa","1-15(n), 2-6(p)","Łódź","Łódź","łódzkie"
"93-129","Łódź","Górna","Lubelska","","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"94-216","Łódź","Polesie","Kusa","","Łódź","Łódź","łódzkie"
"92-321","Łódź","Widzew","Łosiowa","","Łódź","Łódź","łódzkie"
"91-231","Łódź","Bałuty","Hodowlana","","Łódź","Łódź","łódzkie"
"91-167","Łódź","Bałuty","Kosmiczna","","Łódź","Łódź","łódzkie"
"91-495","Łódź","Bałuty","Urocza","","Łódź","Łódź","łódzkie"
"93-469","Łódź","Górna","Pilotów","","Łódź","Łódź","łódzkie"
"94-102","Łódź","Polesie","Waltera-Janke Zygmunta Al. (Generała Zygmunta Waltera-Janke)","","Łódź","Łódź","łódzkie"
